,tickerPair,month_id,ticker2,Date,ticker1,month,new_month,Spread1,Spread2,ratio,isPair,Spread1.log,Spread2.log,ratio.log
634,ABX|NEMCRP,30,NEMCRP,7/5/2013,ABX,7,FALSE,360.67,305.93,1.178929821,FALSE,5.887963413,5.723356318,1.028760588
635,ABX|NEMCRP,30,NEMCRP,7/8/2013,ABX,7,FALSE,360.9,306.46,1.177641454,FALSE,5.888600912,5.725087241,1.028560905
636,ABX|NEMCRP,30,NEMCRP,7/9/2013,ABX,7,FALSE,347.12,288.165,1.204587649,FALSE,5.849670541,5.663533233,1.032865934
637,ABX|NEMCRP,30,NEMCRP,7/10/2013,ABX,7,FALSE,345.975,296.845,1.165507251,FALSE,5.846366518,5.693210117,1.026901589
638,ABX|NEMCRP,30,NEMCRP,7/11/2013,ABX,7,FALSE,319.54,273.68,1.167567963,FALSE,5.766882462,5.611959541,1.027605851
639,ABX|NEMCRP,30,NEMCRP,7/12/2013,ABX,7,FALSE,320.775,275.985,1.162291429,FALSE,5.770739943,5.620346516,1.026758746
640,ABX|NEMCRP,30,NEMCRP,7/15/2013,ABX,7,FALSE,312.69,273.45,1.143499726,FALSE,5.745212284,5.61111879,1.023897818
641,ABX|NEMCRP,30,NEMCRP,7/16/2013,ABX,7,FALSE,305.82,273.345,1.118805905,FALSE,5.722996694,5.610734734,1.020008424
642,ABX|NEMCRP,30,NEMCRP,7/17/2013,ABX,7,FALSE,295.255,265.04,1.11400166,FALSE,5.68783939,5.579880758,1.019347838
643,ABX|NEMCRP,30,NEMCRP,7/18/2013,ABX,7,FALSE,284.485,260.37,1.092618197,FALSE,5.650680528,5.562103696,1.015925059
644,ABX|NEMCRP,30,NEMCRP,7/19/2013,ABX,7,FALSE,280.59,258.925,1.083672878,FALSE,5.636894529,5.556538444,1.014461537
645,ABX|NEMCRP,30,NEMCRP,7/22/2013,ABX,7,FALSE,258.925,235.485,1.099539249,FALSE,5.556538444,5.461647217,1.017374104
646,ABX|NEMCRP,30,NEMCRP,7/23/2013,ABX,7,FALSE,251.53,236.52,1.063461864,FALSE,5.527562267,5.466032771,1.011256701
647,ABX|NEMCRP,30,NEMCRP,7/24/2013,ABX,7,FALSE,277.555,257.225,1.079035864,FALSE,5.626019112,5.549951188,1.013706053
648,ABX|NEMCRP,30,NEMCRP,7/25/2013,ABX,7,FALSE,277.455,254.575,1.089875282,FALSE,5.625658758,5.539595488,1.015536021
649,ABX|NEMCRP,30,NEMCRP,7/26/2013,ABX,7,FALSE,287.525,275.32,1.044330234,FALSE,5.661309813,5.617934058,1.007720944
650,ABX|NEMCRP,30,NEMCRP,7/29/2013,ABX,7,FALSE,288.3,276,1.044565217,FALSE,5.664001605,5.620400866,1.007757585
651,ABX|NEMCRP,30,NEMCRP,7/30/2013,ABX,7,FALSE,286.39,274.89,1.041834916,FALSE,5.657354518,5.616371018,1.00729715
652,ABX|NEMCRP,30,NEMCRP,7/31/2013,ABX,7,FALSE,286.135,273.355,1.046752392,FALSE,5.656463727,5.610771317,1.008143695
653,ABX|NEMCRP,31,NEMCRP,8/1/2013,ABX,8,TRUE,274.69,268.64,1.022520846,FALSE,5.615643189,5.593372193,1.003981676
654,ABX|NEMCRP,31,NEMCRP,8/2/2013,ABX,8,FALSE,268.23,270.44,0.991828132,FALSE,5.591844821,5.600050262,0.998534756
655,ABX|NEMCRP,31,NEMCRP,8/5/2013,ABX,8,FALSE,272.925,272.6,1.001192223,FALSE,5.609197032,5.608005519,1.000212466
